		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 94.671875	M = 48480	N = 8	m = 9	n = 387840
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   96   87  104   87  101  100   86   96  3.843990 0.870918 SUCCESS   0
000000011   99   80   98   94  114  106   79   84 12.091769 0.147156 SUCCESS   1
000000101  110   90   93   76   99  101  100   88  8.082408 0.425462 SUCCESS   2
000000111   96   89  105   86  105  117   76  108 14.717568 0.064875 SUCCESS   3
000001001   86   96   90   93   86   91   94   98  2.204402 0.974095 SUCCESS   4
000001011  107  100  101   74   96   99   83  106 10.189670 0.251965 SUCCESS   5
000001101  106   98   85  103   91   92   93   94  3.563044 0.894242 SUCCESS   6
000001111   87   79   98   92  105  110   96  116 12.245043 0.140601 SUCCESS   7
000010001   86   89  106   99   86   95   92   91  3.827263 0.872362 SUCCESS   8
000010011   90   96   90   95   87   93   91   88  1.804319 0.986434 SUCCESS   9
000010101   84   78  107   83   99   86   83   97 10.002259 0.264867 SUCCESS  10
000010111  100   99   88   84   98  101   93   99  3.038704 0.931905 SUCCESS  11
000011001   90   87  101   95  105   91   94   75  6.864750 0.551293 SUCCESS  12
000011011  102  108   82   91  113   88  107   93 10.275012 0.246252 SUCCESS  13
000011101   85  103  105   83   89  112   72   86 14.500799 0.069611 SUCCESS  14
000011111   89  100  100   93   80  101  103   98  4.669758 0.792219 SUCCESS  15
000100011   83   95  105   91   91   91   93  104  4.077485 0.850066 SUCCESS  16
000100101   99   90   90   86   77   93  103   96  5.721852 0.678356 SUCCESS  17
000100111   99   94   91  104   94   92   90   95  1.629880 0.990335 SUCCESS  18
000101001   84   95   79   89   94  105  119   94 11.920061 0.154806 SUCCESS  19
000101011  101   80  105   94   84  106   77  103 10.774091 0.214831 SUCCESS  20
000101101  102   88   96   88   91   82   87   99  4.327366 0.826446 SUCCESS  21
000101111   97  109   93   89   97  105   87   89  4.902570 0.767937 SUCCESS  22
000110011   94   87  101   81   91   90   96   84  4.776264 0.781200 SUCCESS  23
000110101   99   96   90  104   86   88   80   98  5.193074 0.736755 SUCCESS  24
000110111  105  103   88   95  117   96   89   81 10.268867 0.246660 SUCCESS  25
000111001   87   99   93   88   91   86   89   83  4.172727 0.841213 SUCCESS  26
000111011   92   89   89   91  107  128   92  101 15.237470 0.054689 SUCCESS  27
000111101   86   93  101   94   96  111   98   92  4.424997 0.816889 SUCCESS  28
000111111   96   93   93   90   97   99   92   96  0.679855 0.999575 SUCCESS  29
001000011  106  120   97   94   96   89   86   91  9.813141 0.278387 SUCCESS  30
001000101  106  102   79   89   94   94  103  110  8.356868 0.399409 SUCCESS  31
001000111   89   98  120   92  103   91  109   85 11.727530 0.163781 SUCCESS  32
001001011   83   81   83   84   84   84   94   89  9.106852 0.333362 SUCCESS  33
001001101   86   80   91  103   76  109   85   93 11.181342 0.191634 SUCCESS  34
001001111   93  109   95  106   89   85   94   91  5.201608 0.735827 SUCCESS  35
001010011   98  101   85  103   91  101  123   91 11.836085 0.158669 SUCCESS  36
001010101   88   80  101   92   89   81  114  117 15.273314 0.054044 SUCCESS  37
001010111   96   88   91  102   97   98   88   91  2.053176 0.979338 SUCCESS  38
001011011   82   90   91   94   94   87   96   86  3.633366 0.888596 SUCCESS  39
001011101   87  106   75  108   94  102   97   96  8.882574 0.352299 SUCCESS  40
001011111  100  106   90   81   98   95   90   81  6.394687 0.603111 SUCCESS  41
001100101  106   85  106  114   95   92   95   91  8.133955 0.420496 SUCCESS  42
001100111  106   74   92   91   79   90   99  100  9.731213 0.284400 SUCCESS  43
001101011  103   87   94  100   92   94   88   97  2.344021 0.968608 SUCCESS  44
001101101   89   96   98   89   95   89  111   98  4.229052 0.835889 SUCCESS  45
001101111   99   89   83   89  111   95   82   90  7.301701 0.504459 SUCCESS  46
001110101   82   90   99   87   96   96   78   96  5.934183 0.654604 SUCCESS  47
001110111  102   94   89   96  110  105   85  109  7.958492 0.437535 SUCCESS  48
001111011  106   96   90  102  109  103   95  101  5.684984 0.682470 SUCCESS  49
001111101  111   99  114   96   99   98  111  110 13.021654 0.111107 SUCCESS  50
001111111   93  102   87   80  106   95   91   95  5.163034 0.740017 SUCCESS  51
010000011   97  101   97   96   93   90   87   85  2.508902 0.961315 SUCCESS  52
010000111   94   97   94   81   92  101   93   86  3.478385 0.900861 SUCCESS  53
010001011   93  108   69   99   94   72   91   95 15.143253 0.056419 SUCCESS  54
010001111  105   98   96   89  102   95   95   89  2.597316 0.957038 SUCCESS  55
010010011   95   84   95  101   84   83   80   96  6.786919 0.559788 SUCCESS  56
010010111   93   99   86   89   78   80   89   94  7.152182 0.520306 SUCCESS  57
010011011   83  100   78   91   84   94   92   83  7.797025 0.453544 SUCCESS  58
010011111   94  108   92  102  110   96  104   99  6.350992 0.607979 SUCCESS  59
010100011  100   85   89   90   91   95  113  110  8.306345 0.404132 SUCCESS  60
010100111   82   93   93   99   94   96  103   88  3.287902 0.915013 SUCCESS  61
010101011   82   91  101   92   90   83  122  101 12.739002 0.121151 SUCCESS  62
010101111   83   84   92  106  105   90  119   85 13.102900 0.108358 SUCCESS  63
010110011  107   87  113   92   83   94   91   91  7.838330 0.449420 SUCCESS  64
010110111   88  107   94   98   91   86  107   87  5.544341 0.698123 SUCCESS  65
010111011   91  105   89  107   98   88   92   90  4.247827 0.834100 SUCCESS  66
010111111  102  115   84   87  106  110   87   91 11.746305 0.162887 SUCCESS  67
011000111   86   88   96   98   97   90   92   98  1.944621 0.982663 SUCCESS  68
011001111  106   71  119  101   95   87   96   97 15.148374 0.056324 SUCCESS  69
011010111  111   88   91   99   93  101   96   97  4.296984 0.829384 SUCCESS  70
011011111  110  104   83   94  111   80  108   95 12.215686 0.141837 SUCCESS  71
011101111  104  103   84  101   97   91   80  110  8.514238 0.384914 SUCCESS  72
011111111   99   96   87   89  116   90   96  102  7.031679 0.533219 SUCCESS  73
100000000   96   87  104   87  101  100   86   96  3.843990 0.870918 SUCCESS  74
100010000   96  110  120   88   79   76   82   80 20.676820 0.008057 FAILURE  75
100100000  106  103   88   94  103  102  100   88  4.791284 0.779633 SUCCESS  76
