		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 94.671875	M = 48480	N = 8	m = 9	n = 387840
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   86  104  113   86   97  101   87  113 11.072105 0.197647 SUCCESS   0
000000011   78   91  104   89  102  108   87  110 10.222100 0.249782 SUCCESS   1
000000101   82  113  101   86   99   93   98  106  8.440503 0.391664 SUCCESS   2
000000111   95   91   98   88  100   90   81  104  4.296643 0.829417 SUCCESS   3
000001001   98  104   96   93  106  108   88   94  4.954799 0.762396 SUCCESS   4
000001011   90   90   89   85   94   84  116  125 18.115881 0.020374 SUCCESS   5
000001101   80   95  101  103   88   78   97   97  7.188708 0.516416 SUCCESS   6
000001111   99   98   85   88   93   81   92  102  4.570761 0.802313 SUCCESS   7
000010001   99  101  101  101  103   93  105   84  4.714477 0.787612 SUCCESS   8
000010011   95   97  100   95  105   78   89   87  5.567554 0.695545 SUCCESS   9
000010101   82  104   91   82   83  105   86  111 10.993249 0.202082 SUCCESS  10
000010111  100  101   94  110   99   94  108  103  6.226735 0.621851 SUCCESS  11
000011001  103   80   85  101  100   88   96  100  5.694201 0.681442 SUCCESS  12
000011011   76  111  103   92   92  106   91   87  9.826455 0.277418 SUCCESS  13
000011101   91   97  107   95   94   99   98  104  3.148966 0.924664 SUCCESS  14
000011111   95   80   83   98   83   95  117   93 10.927706 0.205829 SUCCESS  15
000100011   94  106   96   98  100  101  116   74 11.931668 0.154279 SUCCESS  16
000100101   98  105   99  102  104  101  116   93  8.465081 0.389406 SUCCESS  17
000100111   90  103  108   78  101   83   92   84  9.220527 0.324036 SUCCESS  18
000101001  104  104   93  105   99   89   84   90  5.135383 0.743013 SUCCESS  19
000101011   95   94  103   77   89  100   86  104  6.608725 0.579375 SUCCESS  20
000101101   93   72  101   79   95   96   87  110 11.995845 0.151389 SUCCESS  21
000101111   94   95  100   95   92   96   89  104  1.716588 0.988502 SUCCESS  22
000110011  100   84  102   97   95   90  109  102  5.268858 0.728492 SUCCESS  23
000110101   93   87   97   91   89  107   90  109  5.372633 0.717107 SUCCESS  24
000110111   81   89   94  109   90  105   98   76  9.973925 0.266861 SUCCESS  25
000111001  107   80  104   85  101   90   86   86  8.302932 0.404452 SUCCESS  26
000111011   79   92  101   79   90   89   91   90  6.856899 0.552148 SUCCESS  27
000111101   86   84   93  100  102   91   98   92  3.339107 0.911312 SUCCESS  28
000111111   85   92  106   88   85   86   92   85  5.931110 0.654948 SUCCESS  29
001000011   89   90   89  102   90  100  105  110  5.808218 0.668704 SUCCESS  30
001000101  103   99  103  105   98   96   93   89  3.407381 0.906258 SUCCESS  31
001000111  101   98   93   86   99   87  106   83  5.148013 0.741645 SUCCESS  32
001001011   93   95  103  108   97  100  106   97  4.560179 0.803383 SUCCESS  33
001001101   88   75   99   94   98  110   87  109 10.496218 0.231909 SUCCESS  34
001001111   76  108   89   91  101   86   97   81  9.607638 0.293651 SUCCESS  35
001010011   90  101   96   89   87   93   86   83  4.029694 0.854435 SUCCESS  36
001010101   89  102   90   89   98   96   83   98  3.277320 0.915769 SUCCESS  37
001010111  108   94   92   85   82  104   87  100  6.702942 0.568996 SUCCESS  38
001011011   87   90   84  100  100   92   91   90  3.209388 0.920538 SUCCESS  39
001011101  107   88   96  105   89  104  116  101 10.039468 0.262267 SUCCESS  40
001011111   90   85   90   96  108   90   90  112  7.215335 0.513588 SUCCESS  41
001100101   96  101   98  106  101   91   81   82  6.360209 0.606951 SUCCESS  42
001100111   95  100  101   76  101   92  117   97 10.577804 0.226787 SUCCESS  43
001101011   83  106   89   74   90  115   97  123 21.487226 0.005960 FAILURE  44
001101101  109   99   93   89   82   86   93   95  5.436469 0.710068 SUCCESS  45
001101111   90   76   95   88   93   99   88   74  9.923744 0.270419 SUCCESS  46
001110101  104   88   98   91  105   91   84   73  9.392235 0.310295 SUCCESS  47
001110111   90   89   93   83   98   84  108   94  5.419059 0.711990 SUCCESS  48
001111011   92   99   99   92  101   91   90   96  1.407650 0.994137 SUCCESS  49
001111101   92   86   95  109  103   90  105   84  6.548644 0.586017 SUCCESS  50
001111111   92   98   86   83   90   76  102   80  9.493621 0.302379 SUCCESS  51
010000011   98  101   99   94   76   77  112  106 12.669704 0.123731 SUCCESS  52
010000111   91   82   82  103   92   98  101  103  5.807194 0.668819 SUCCESS  53
010001011   98   82  115  108   96  100   88   96  9.164543 0.328606 SUCCESS  54
010001111   96  106   95   94  101   87  105   88  4.159072 0.842494 SUCCESS  55
010010011   99   80   71  112   81   85  111   79 20.616398 0.008239 FAILURE  56
010010111  105   92  102  112  105   96   97  102  6.940193 0.543099 SUCCESS  57
010011011   97   86   88   88   91  102   90   87  3.468486 0.901622 SUCCESS  58
010011111  100   96   87  108  107   91  102   74  9.974949 0.266789 SUCCESS  59
010100011  114   99  109  105   87   88   73   91 14.100375 0.079186 SUCCESS  60
010100111   98  105   89  115   87   97   99   71 13.179707 0.105814 SUCCESS  61
010101011  102  107   88   80   83  116   77  118 20.898026 0.007423 FAILURE  62
010101111   94  105  101   78   80   98   89  109  9.710390 0.285944 SUCCESS  63
010110011   76   93   93   94   98   94  105   93  5.196146 0.736421 SUCCESS  64
010110111   85   94   94  101   94  102   90  102  2.885771 0.941320 SUCCESS  65
010111011  109  102   91  103   99  112  116   86 13.009365 0.111528 SUCCESS  66
010111111  102   96   93   90   96   92   94  105  2.142273 0.976337 SUCCESS  67
011000111   83   88  107   86   91   80   93  100  7.295556 0.505106 SUCCESS  68
011001111   97   99   91   86   98   94  102  104  2.895671 0.940733 SUCCESS  69
011010111   92  104   80   92   98   99   79   99  6.671195 0.572487 SUCCESS  70
011011111   91   84  103   96  105   87   86   90  5.036386 0.753680 SUCCESS  71
011101111   81   95   84   95  104   94  115  104  9.708342 0.286096 SUCCESS  72
011111111   96   92   83   91   99   82  119  106 11.558553 0.172013 SUCCESS  73
100000000   86  104  113   86   97  101   87  113 11.072105 0.197647 SUCCESS  74
100010000   98   96   99  101   83   96   97  110  4.915542 0.766564 SUCCESS  75
100100000   94  113  117   93  104   87  100  102 11.641164 0.167947 SUCCESS  76
100101000  100  102   82  102  104   88   92   86  5.573699 0.694862 SUCCESS  77
100110000   88  105   95   81   84   87   90  101  6.257458 0.618417 SUCCESS  78
100111000   98   88  101   88  104   94  101  104  3.874371 0.868276 SUCCESS  79
101000000   95   97   99   92   92   95   91  100  0.879555 0.998901 SUCCESS  80
101000100   89  101   94   97   82   98  107  101  4.825763 0.776026 SUCCESS  81
101001000  108   74  104   94   98   99  107   95  9.550971 0.297966 SUCCESS  82
101001100   95  103  100   77  101   82   91   95  6.820373 0.556131 SUCCESS  83
101010000   94   70   99   97   84  103   92   83 10.485977 0.232558 SUCCESS  84
101010100   91   83  100  120   91   78   93   88 12.653660 0.124335 SUCCESS  85
101011000   99   82   91   91   88   95  110  118 11.252005 0.187825 SUCCESS  86
101011100  108   91   70   87  101  101   75  105 15.647453 0.047713 SUCCESS  87
101100000   88   96   92   85   96   87   99  104  3.422742 0.905102 SUCCESS  88
101100100  110  107   88  106   85   95   94   84  8.386908 0.396617 SUCCESS  89
101101000   93   98   99   78   86   95   96  107  5.894584 0.659039 SUCCESS  90
101101100  107   91   94   84  108   93   72   97 10.701721 0.219180 SUCCESS  91
101110000   90   79   86   98   80   90   83   98  8.062950 0.427345 SUCCESS  92
101110100   88   97   95   82   93  105   86  100  4.628111 0.796483 SUCCESS  93
101111000   78   85  111   98   84  104  104   89 10.588045 0.226151 SUCCESS  94
101111100   97   82   96   87   97  102   91  100  3.578747 0.892993 SUCCESS  95
110000000   86   88  103   90  102   96   90  114  7.228990 0.512140 SUCCESS  96
110000010   88   84   80   86   79   93   98   99  7.942448 0.439112 SUCCESS  97
110000100   81  106  101  105  104   93  116   83 12.484683 0.130853 SUCCESS  98
110001000   90  109   97   96   83   86  100  100  5.489381 0.704216 SUCCESS  99
110001010  111  101  115   96   83  100   81  105 12.888521 0.115743 SUCCESS 100
110010000  102   89   96  106  100   84  111   92  6.903666 0.547061 SUCCESS 101
110010010   97   95   90  105   87   85  111   89  6.392639 0.603339 SUCCESS 102
110010100   94  101   77   84  107   94   88   86  8.070802 0.426585 SUCCESS 103
110011000   86  100   95   82   87   93   88  104  4.997129 0.757883 SUCCESS 104
110011010   97  101   86   97   94   99   99  112  5.071547 0.749902 SUCCESS 105
110100000  105  109   81   82  100   88   99  104  9.155326 0.329363 SUCCESS 106
110100010   91   97  108   89   87   95  100   88  3.938890 0.862594 SUCCESS 107
110100100  107   79   85  107  104  105  107   95 10.802424 0.213147 SUCCESS 108
110101000   97   85  108  100  100  106   82   95  6.798867 0.558481 SUCCESS 109
110101010  104   88   98  111   76   98   87  108 10.983008 0.202664 SUCCESS 110
110101100   90   91   82   92   98   94   98  109  4.707308 0.788352 SUCCESS 111
110110000   98   96   96   84  108   97   89   97  3.813949 0.873507 SUCCESS 112
110110010  114   96   94   93   88   95   90   83  6.349627 0.608131 SUCCESS 113
110110100   93   82   92   91   77  104   97  113 10.100573 0.258038 SUCCESS 114
110111000   86   94   93   89   89  103   87   91  3.107660 0.927421 SUCCESS 115
110111010   79   96   92   80   93  101   95   74 10.268867 0.246660 SUCCESS 116
110111100   95   91   99   91   89   97  102   80  3.849110 0.870474 SUCCESS 117
111000000  100   80  101   96   95  100   86  100  4.561203 0.803279 SUCCESS 118
111000010   81   96   89   95  104   92  121   96 11.033530 0.199807 SUCCESS 119
111000100   97  118   95   91   97   90  110   94  9.021510 0.340485 SUCCESS 120
111000110   92   81   87   82  100   86   88   83  7.622928 0.471142 SUCCESS 121
111001000   94   82  114   94  101   94  108   90  8.466105 0.389312 SUCCESS 122
111001010  107   94   70   81  100   92   94   87 11.392307 0.180446 SUCCESS 123
111001100   96  103   92  102   87   87   91  100  3.184809 0.922230 SUCCESS 124
111010000   99  109  102   82  101   92   96   94  5.327573 0.722059 SUCCESS 125
111010010  107   79   91  103   89   98  107   98  7.501742 0.483587 SUCCESS 126
111010100   95   85   94  102   93   96   97   83  3.211777 0.920373 SUCCESS 127
111010110  105   82   90   92  104   90   91   82  6.326073 0.610757 SUCCESS 128
111011000   91   93   98   89   88   98   92  103  2.093116 0.978023 SUCCESS 129
111011010   87  104   90  100   92  115   86  100  7.865640 0.446704 SUCCESS 130
111011100   97  112  107   86   87  104   90   90  7.891242 0.444165 SUCCESS 131
111100000   94   74   90   92   91   96  102   87  6.385471 0.604137 SUCCESS 132
111100010   94  108  113   86   89   92   93   99  7.100977 0.525778 SUCCESS 133
111100100   78   86  105   91  102   99  114   96 10.061657 0.260725 SUCCESS 134
111100110   82  100   97   89   88   86   88  104  5.219359 0.733894 SUCCESS 135
111101000   93   85  105   99   92   87   94   96  3.167399 0.923417 SUCCESS 136
