		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 94.671875	M = 48480	N = 8	m = 9	n = 387840
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   18   19   22   18   29   21   18   31 463.578240 0.000000 FAILURE   0
000000011   35   39   26   29   34   25   25   39 351.499107 0.000000 FAILURE   1
000000101   39   27   34   27   37   26   34   31 346.462913 0.000000 FAILURE   2
000000111   53   50   44   38   46   49   38   51 208.482864 0.000000 FAILURE   3
000001001   30   30   35   30   22   33   32   37 354.437940 0.000000 FAILURE   4
000001011   45   33   53   45   51   33   40   35 248.351171 0.000000 FAILURE   5
000001101   42   33   38   44   36   37   50   44 258.770048 0.000000 FAILURE   6
000001111   75   67   65   80   73   81   58   76 50.232415 0.000000 FAILURE   7
000010001   24   25   21   28   32   30   20   28 413.492805 0.000000 FAILURE   8
000010011   49   45   43   58   33   44   44   54 209.309315 0.000000 FAILURE   9
000010101   43   34   45   33   46   33   62   35 255.859890 0.000000 FAILURE  10
000010111   69   61   72   63   52   58   54   64 99.085514 0.000000 FAILURE  11
000011001   53   38   39   40   36   47   43   48 235.951681 0.000000 FAILURE  12
000011011   58   55   62   72   57   61   62   63 99.664814 0.000000 FAILURE  13
000011101   65   70   73   82   61   62   56   63 74.491695 0.000000 FAILURE  14
000011111  134  107  121  112   95   94  100  107 31.384493 0.000120 FAILURE  15
000100011   48   36   40   49   41   38   35   27 272.309364 0.000000 FAILURE  16
000100101   41   52   39   41   45   49   42   40 229.378650 0.000000 FAILURE  17
000100111   67   66   66   74   55   83   60   76 66.613957 0.000000 FAILURE  18
000101001   39   43   46   44   32   42   44   48 242.004126 0.000000 FAILURE  19
000101011   66   67   66   61   72   58   83   63 71.461717 0.000000 FAILURE  20
000101101   69   50   54   63   71   65   51   62 106.259693 0.000000 FAILURE  21
000101111   82   94  108  106   76   91   88   96  9.562578 0.297078 SUCCESS  22
000110011   65   70   61   60   62   67   56   75 82.373187 0.000000 FAILURE  23
000110101   65   59   62   57   57   52   76   70 96.532427 0.000000 FAILURE  24
000110111   92   81   93  107   84  104  103   98  6.883867 0.549213 SUCCESS  25
000111001   63   59   65   53   72   75   70   69 77.135927 0.000000 FAILURE  26
000111011   99   97   93  101   92  102   80   78  6.784188 0.560086 SUCCESS  27
000111101  104  101   82  101  113   95   99   95  7.455999 0.488325 SUCCESS  28
000111111  175  160  155  140  150  133  154  151 301.904558 0.000000 FAILURE  29
001000011   45   40   42   36   39   40   43   46 249.065312 0.000000 FAILURE  30
001000101   35   35   50   31   50   37   47   40 259.487261 0.000000 FAILURE  31
001000111   61   60   51   66   57   47   72   43 130.440799 0.000000 FAILURE  32
