		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 94.671875	M = 48480	N = 8	m = 9	n = 387840
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   91   81   90   90   87   82   98   98  5.305043 0.724531 SUCCESS   0
000000011   89   83   86   82   77   88  104  106 10.665195 0.221401 SUCCESS   1
000000101   92   84   92   97   93   75   84   94  6.966137 0.540291 SUCCESS   2
000000111  102   87  104   91   99   86  101   80  6.142417 0.631283 SUCCESS   3
000001001   94   90   89   95  100   92   89   99  1.540101 0.992022 SUCCESS   4
000001011   89   94   91  100   87   79   87   87  5.425545 0.711274 SUCCESS   5
000001101   83   82   84   92  103   99   97   95  5.587012 0.693382 SUCCESS   6
000001111   87   91  102   98   97   82   93   95  3.342862 0.911037 SUCCESS   7
000010001   88   90   66   90   84   88  102  109 14.502848 0.069564 SUCCESS   8
000010011   94   97   94   83  113   88   75   94  9.945251 0.268890 SUCCESS   9
000010101   88   94  110   92   84   78   84  104  9.610710 0.293418 SUCCESS  10
000010111   85  102   86   90   78   87   81  100  8.699601 0.368268 SUCCESS  11
000011001   95   98   98   84   77  106   91   97  6.506997 0.590632 SUCCESS  12
000011011   78   84   88   93   98  104  118   96 11.832671 0.158827 SUCCESS  13
000011101   98   99  100  102   92   84  100   84  4.098650 0.848115 SUCCESS  14
000011111   90  105  104  103   97   94  105  101  4.778654 0.780951 SUCCESS  15
000100011   75   92   78   95   84   78  108  118 19.508319 0.012365 SUCCESS  16
000100101  115   92   96   86   95   98  101   90  6.230831 0.621393 SUCCESS  17
000100111   96  100   96   93   95  107   77   93  5.482554 0.704972 SUCCESS  18
000101001   92   94   79   79   89   99   81   88  8.533013 0.383206 SUCCESS  19
000101011   89   90  101   90   95   95  100   86  2.399664 0.966246 SUCCESS  20
000101101   90   91   95   92  104   79   96   96  4.136883 0.844567 SUCCESS  21
000101111  101  103   90   93   98   87   81   99  4.474495 0.811979 SUCCESS  22
000110011   89   89   90   84   99  106  109   96  6.053661 0.641221 SUCCESS  23
000110101  104   89   83   95  122   87   81  104 14.584776 0.067740 SUCCESS  24
000110111   88   81   97   98   98   95  110   87  6.040007 0.642750 SUCCESS  25
000111001  101   94   81   92   94   89   92   96  3.015832 0.933360 SUCCESS  26
000111011   98  110   99  105   91   89   91   94  4.708332 0.788246 SUCCESS  27
000111101   99   84  102  107   92   85   94   80  7.151841 0.520342 SUCCESS  28
000111111   84   87  100   90   75  100  103  122 15.888800 0.044000 SUCCESS  29
001000011   88   88   93   87   90   98   97   97  2.123839 0.976978 SUCCESS  30
001000101   95   97   90   89  101   88   92   93  1.682451 0.989249 SUCCESS  31
001000111   75   91   82  101   89   75   83   94 12.637957 0.124928 SUCCESS  32
001001011  100   87   93   96   97  105   99   86  3.253424 0.917462 SUCCESS  33
001001101  105   87   96   91   88  105   84   92  4.948313 0.763086 SUCCESS  34
001001111   97  103   97   96  106   92   80   91  4.873895 0.770965 SUCCESS  35
001010011   90  107   75   91   64   95   90   89 17.140935 0.028675 SUCCESS  36
001010101   92   87  108   73   96   91   81   88 10.486659 0.232515 SUCCESS  37
001010111  102   91  100   87   98   83   87  100  4.249193 0.833970 SUCCESS  38
001011011   98   99  118   76   95   88  104  102 12.103376 0.146651 SUCCESS  39
001011101  120  108   79   99   98   94  100  100 12.581973 0.127065 SUCCESS  40
001011111  103  104  103   86  101   84   87   93  5.642314 0.687227 SUCCESS  41
001100101   81  102  110   86   93  104  101  107  9.095246 0.334325 SUCCESS  42
001100111   88   97   91   96   94   96  102  106  2.724646 0.950432 SUCCESS  43
001101011  106   95   93  100  120   84   84  112 14.519575 0.069188 SUCCESS  44
001101101   82  101  103  101  100  105  100   94  5.177030 0.738498 SUCCESS  45
001101111   96   80   96  101   86   89   96  104  4.970161 0.760761 SUCCESS  46
001110101   93   97  101  102   94  100  102   99  2.220105 0.973509 SUCCESS  47
001110111   91  101   97  121   99  100   95   87  9.374825 0.311669 SUCCESS  48
001111011  106   90  100   93   96  105  104   84  5.360003 0.718496 SUCCESS  49
001111101  106  104   93   93  116  102   92   94  8.052027 0.428405 SUCCESS  50
001111111  100   89  110   99   79  101  102  106  8.541547 0.382432 SUCCESS  51
010000011  116  108   98   88   95   71   88   89 14.476904 0.070151 SUCCESS  52
010000111   81   92   85  115   92   94  105   94  8.908859 0.350043 SUCCESS  53
010001011  112  102   94   85   99   86  101   85  7.378850 0.496363 SUCCESS  54
010001111   80   88   95   86   87  100  109   99  7.060695 0.530098 SUCCESS  55
010010011   92   88   97  109   87  105   90   89  5.264078 0.729014 SUCCESS  56
010010111  102  100   83  104   92   92   98  100  3.922504 0.864047 SUCCESS  57
010011011  102   96   86  108   83  104   94   97  5.870688 0.661714 SUCCESS  58
010011111  104   94   95   97   93  101   87   86  2.948241 0.937564 SUCCESS  59
010100011   84  101   88   81   93  104   92   92  5.346689 0.719960 SUCCESS  60
010100111   84  112   96   99   88  106   90  102  7.461119 0.487793 SUCCESS  61
010101011   86   89  106   93   86  101   86   98  4.806646 0.778028 SUCCESS  62
010101111  104   95  101   94  106   95   85   92  3.896902 0.866303 SUCCESS  63
010110011  105   81  104   86   91  102   87   88  6.842220 0.553748 SUCCESS  64
010110111   93  111  106   99  106   89   97  105  7.527003 0.480980 SUCCESS  65
010111011  102  108   92  105   92   86   84   99  6.118521 0.633958 SUCCESS  66
010111111  114  108  100  104   94   96  103   77 11.475260 0.176196 SUCCESS  67
011000111   94  106   98   89  110  104  108   89  7.688129 0.464512 SUCCESS  68
011001111   89  107  104   92  104   97   91  102  4.783774 0.780417 SUCCESS  69
011010111  101   97  108   93   93   87   72  110 11.322668 0.184078 SUCCESS  70
011011111  102   93   87   91   95  101   88   86  3.153745 0.924342 SUCCESS  71
011101111   85  110  115  123  106   97  100   91 18.787009 0.016041 SUCCESS  72
011111111  108  107  105   90   91  100  108   92  7.480236 0.485812 SUCCESS  73
100000000   91   81   90   90   87   82   98   98  5.305043 0.724531 SUCCESS  74
100010000   92  103   92   86   94  104  107   77  7.762206 0.457037 SUCCESS  75
100100000  104   67   95  109   84   84   86   94 14.873573 0.061651 SUCCESS  76
100101000   92  100   89   84   88  104   97   96  3.498867 0.899278 SUCCESS  77
100110000  104   76  100   97   79  112   96   81 13.152398 0.106713 SUCCESS  78
100111000   92   95   98  106   90   87  110  120 12.057632 0.148651 SUCCESS  79
101000000   84   94   83   95   74   90   89   91  8.143513 0.419578 SUCCESS  80
101000100   82   94   98   90   89  109   91  104  5.810266 0.668475 SUCCESS  81
101001000  107   73   86   77  101   81   92  100 13.891117 0.084648 SUCCESS  82
101001100  108   88   85   93   77   80  103  103 10.757364 0.215830 SUCCESS  83
101010000   92   96   98   95   86   83   78  107  7.225576 0.512502 SUCCESS  84
101010100   97   97   97   99  106   82   95   99  3.743969 0.879453 SUCCESS  85
101011000   89   99  103   88  107  103   92   85  5.317673 0.723146 SUCCESS  86
101011100   85   97   98   89   99   98   83  116  8.336386 0.401320 SUCCESS  87
101100000   85   88   92   81   96   81   92   97  5.826311 0.666680 SUCCESS  88
101100100  102   78   77   81  103   95  100   78 13.181414 0.105758 SUCCESS  89
101101000   91  108  110   86   88  108  105   89  9.419203 0.308175 SUCCESS  90
101101100   86   92  106  100  108   95   95   86  5.375706 0.716768 SUCCESS  91
101110000   96   93   84   98  105  101  101   86  4.276502 0.831355 SUCCESS  92
101110100   98   89   79   89   98   94   96  109  5.894584 0.659039 SUCCESS  93
101111000  107   98  106  117  101   85   80   96 12.459081 0.131866 SUCCESS  94
101111100   89   96   83   98   85   89   79  100  6.346213 0.608511 SUCCESS  95
110000000   91   69   96   86   95   86   99  103  9.972219 0.266981 SUCCESS  96
110000010   97   99   80   84   74  101   98  113 12.755388 0.120548 SUCCESS  97
110000100   98   97  107   72  107   80   91   87 12.257332 0.140086 SUCCESS  98
110001000   89   95   89   92   93   85  100   87  2.787457 0.946979 SUCCESS  99
110001010   82   98   88   69   85   98  105   87 12.511651 0.129793 SUCCESS 100
110010000  102   84   83  107   87   88   91   93  6.286133 0.615215 SUCCESS 101
110010010   89   89  100   94   80   92   79   85  7.152182 0.520306 SUCCESS 102
110010100   95  105   89   83   72  111   90   96 11.791024 0.160774 SUCCESS 103
110011000   91   87   88   73   89  111   90   83 11.397428 0.180181 SUCCESS 104
110011010   84  107   82  100  101   80  103  101  8.952554 0.346314 SUCCESS 105
110100000   97  104   82   89   90   84   84   73 10.972425 0.203267 SUCCESS 106
110100010   91   98   96   88   91  117   98   96  6.507339 0.590594 SUCCESS 107
110100100   85   70   86  105  103   94   97   98 10.600676 0.225368 SUCCESS 108
110101000   82   94  105   93  102   87   85  104  6.156754 0.629678 SUCCESS 109
110101010   91   99   95  119   96   92  100  109  9.468360 0.304337 SUCCESS 110
110101100   90   99   98   88  106   96   92   97  2.608581 0.956475 SUCCESS 111
110110000   82   89  102   81  120   86   96   78 15.618778 0.048173 SUCCESS 112
110110010  111   90   86   76   91   86   95   76 12.559101 0.127947 SUCCESS 113
110110100   99  103  109   96   77  113  107  111 14.877669 0.061568 SUCCESS 114
110111000  106   86   89   90   98   98  108   84  6.239707 0.620401 SUCCESS 115
