		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 94.671875	M = 48480	N = 8	m = 9	n = 387840
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  102   85  113   82   77   92   98   91 10.789794 0.213897 SUCCESS   0
000000011  115  100   93   78   88   96  106   70 16.447618 0.036403 SUCCESS   1
000000101   90   93   85  106   74   88   86  108 10.608869 0.224861 SUCCESS   2
000000111   91   93  124   78  101  101  106   84 16.130829 0.040545 SUCCESS   3
000001001   91   77   77  101   93   96   99   88  8.148292 0.419120 SUCCESS   4
000001011   97  109   89  102   78   99   90   99  6.923807 0.544875 SUCCESS   5
000001101   99   98   91   87   84  107   87   95  4.664296 0.792780 SUCCESS   6
000001111   81  114  109   93   93  108   91   96 10.533427 0.229562 SUCCESS   7
000010001   91   80  105   76  100   91   81  108 11.912210 0.155164 SUCCESS   8
000010011   69   79   75  106  103  103   67   87 26.034241 0.001036 FAILURE   9
000010101   90  101  107  102   88   89   95  110  6.328121 0.610529 SUCCESS  10
000010111  110  117   82   98   80  104  107   91 14.997148 0.059201 SUCCESS  11
000011001   96   84   69   84   98   89   84  101 11.860663 0.157530 SUCCESS  12
000011011  107  100  110   82   86  103   87   95  8.514238 0.384914 SUCCESS  13
000011101  110   72  114   76  101   97   98   90 16.926898 0.030879 SUCCESS  14
000011111   93   99   89   99   97  101   97   96  1.366345 0.994711 SUCCESS  15
000100011   92   83   88   93   93   99   74  109  9.228720 0.323370 SUCCESS  16
000100101   89   84  100   92   88   80  115   96  9.354685 0.313264 SUCCESS  17
000100111   88   84  106  108   86   88   77   83 11.279997 0.186333 SUCCESS  18
000101001   92   89  102   92  104   89  100   87  3.349007 0.910587 SUCCESS  19
000101011   97   99   95  102   76   99  111  107  9.437296 0.306759 SUCCESS  20
000101101   93   95   96   95  100  102   87   85  2.613701 0.956218 SUCCESS  21
000101111  106  116   92   81   86   98   96  100  9.762619 0.282084 SUCCESS  22
000110011   87   86   88   80   90   86  100  102  6.258823 0.618265 SUCCESS  23
000110101   79   99  100   94   99  101   77   96  7.275416 0.507230 SUCCESS  24
000110111   98  100   91   79   85  116   86   94 10.078725 0.259544 SUCCESS  25
000111001   84  104   78  103   83   84   93   93  8.781870 0.361030 SUCCESS  26
000111011   94   74  113   90   85   88  101   84 11.770542 0.161739 SUCCESS  27
000111101  103  113   88  113   99  102   86   95 10.196838 0.251481 SUCCESS  28
000111111  103   78   88  109   90   96  112  103 10.818127 0.212219 SUCCESS  29
001000011   96   94   92   95   96   64   88   93 10.916100 0.206499 SUCCESS  30
001000101  103  104   92   96  104   88   97   96  3.320673 0.912653 SUCCESS  31
001000111   95   77   77   90   94  102   95  100  7.965319 0.436865 SUCCESS  32
001001011   83   88   95  108   99   96  111   94  7.057282 0.530465 SUCCESS  33
001001101   99   78  103  105  101   96   92   83  7.186660 0.516634 SUCCESS  34
001001111  102   85   95  112   91   80   92   93  7.496963 0.484081 SUCCESS  35
001010011   95   91   93   94   94   91   99   89  0.892185 0.998842 SUCCESS  36
001010101   92  105  101  112   91   97  112  105  9.612417 0.293289 SUCCESS  37
001010111   99  101   99  114   90   93   99   96  5.420425 0.711839 SUCCESS  38
001011011  111   89  101   93   96   75   81   92 10.098183 0.258202 SUCCESS  39
001011101   95  103   88  118   92  101  102   96  8.311124 0.403684 SUCCESS  40
001011111   99  101   90   81   85  102  108  111  9.383701 0.310968 SUCCESS  41
001100101   91   89   86   94   94   82   92   98  3.283123 0.915355 SUCCESS  42
001100111   96   95   96   82   94   89   87   96  2.812377 0.945574 SUCCESS  43
001101011   90  107   83   95   96  107   98   80  7.539975 0.479644 SUCCESS  44
001101101  121   93  114   94   98   97   97  104 12.878280 0.116107 SUCCESS  45
001101111   94  108   83   71   94  106   93   88 11.478332 0.176041 SUCCESS  46
001110101  105   93   80  101   97  114   77   97 11.595421 0.170188 SUCCESS  47
001110111  100   86  116   95   78   84   98   83 11.991407 0.151588 SUCCESS  48
001111011   92  129   96  103   82   96  100  106 17.212964 0.027966 SUCCESS  49
001111101   90   87   91  104   94   96  104   88  3.440152 0.903784 SUCCESS  50
001111111   99   82  111  119   99   82  117   83 20.229287 0.009503 FAILURE  51
010000011   94  102   85   82  109  114   83  102 11.765763 0.161965 SUCCESS  52
010000111  105   83   91  106   85   76   95  103  9.791635 0.279956 SUCCESS  53
010001011  100   92   91   89  100  109   89   99  3.995557 0.857524 SUCCESS  54
010001111  106   78   85  111   98  100  104  104 10.704452 0.219014 SUCCESS  55
010010011  120   83   98   86   95   86   88   94 10.752243 0.216136 SUCCESS  56
010010111   84   93  108   90   93   91  101   89  4.420218 0.817361 SUCCESS  57
010011011  100   84   80   94  116  115   74   93 18.092327 0.020545 SUCCESS  58
010011111  104   83   99  100   85   90   96   90  4.471423 0.812285 SUCCESS  59
010100011   82  105   89  110   99   90   92   99  6.562982 0.584430 SUCCESS  60
010100111   95   90   92   96   99   91  103   87  2.089361 0.978149 SUCCESS  61
010101011   93   98   98  115  107  104  102   97  8.043151 0.429266 SUCCESS  62
010101111  102   90  109  121  100   87  104  105 13.708486 0.089687 SUCCESS  63
010110011   89   93  115   98   97  106   81   89  8.871308 0.353268 SUCCESS  64
010110111  103   81   91   93  105   89   90   95  4.733593 0.785633 SUCCESS  65
010111011   97  113   93  117   93  110  108   84 14.986907 0.059401 SUCCESS  66
010111111  101   97  102  101   95  104  105  114  7.718511 0.461439 SUCCESS  67
011000111  105   97   87   99   68   92   99  104 11.076201 0.197419 SUCCESS  68
011001111   94  101  109   83   77   97   94   96  7.667988 0.466555 SUCCESS  69
011010111  101  113   96   89  102   89  110   77 11.393673 0.180375 SUCCESS  70
011011111   95   90   94   70  102  109  100   92 10.111155 0.257311 SUCCESS  71
011101111  100   92  106  109   90   95   92   86  5.171568 0.739091 SUCCESS  72
011111111   98   74  108  111   97   93   99   96  9.955492 0.268164 SUCCESS  73
100000000  102   85  113   82   77   92   98   91 10.789794 0.213897 SUCCESS  74
100010000   87  105   97   82   98  103  100  106  6.212056 0.623492 SUCCESS  75
100100000  103  100  101   83   97   93   98  108  5.144600 0.742015 SUCCESS  76
100101000   88  104   76   81   99   93   87   99  8.369840 0.398202 SUCCESS  77
100110000   90  103   79   78   93   83   90  102  9.059061 0.337338 SUCCESS  78
100111000   80   93   89   97  114   91   83   93  8.539499 0.382618 SUCCESS  79
101000000   86   91   95   90   82   91   93   90  3.378706 0.908397 SUCCESS  80
101000100   90   91  107   95   95  110   93  104  5.595888 0.692395 SUCCESS  81
101001000  104  118   95   96   94   88   81  103 10.206397 0.250837 SUCCESS  82
101001100  105  109  101  106  101   81   96  112 11.025679 0.200248 SUCCESS  83
101010000   74   90   95  109   91  105  101   84 10.144268 0.255046 SUCCESS  84
101010100   92  102   78  101  101  103  107  108  8.934120 0.347884 SUCCESS  85
101011000   99   91   79   97   83  102   97  104  6.178602 0.627233 SUCCESS  86
