		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 94.671875	M = 48480	N = 8	m = 9	n = 387840
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  325  478  661  589  522  409  495  615 16139.797169 0.000000 FAILURE   0
000000011  277  390  493  451  417  323  372  430 8209.011216 0.000000 FAILURE   1
000000101   76  127  159  125  126  113  113  131 102.952866 0.000000 FAILURE   2
000000111  286  341  367  406  325  283  335  329 5129.334203 0.000000 FAILURE   3
000001001   81  106  125  123  121   92  123  145 66.342570 0.000000 FAILURE   4
000001011   56  118  114  111  101  101   86   93 31.001479 0.000140 FAILURE   5
000001101   76  108  129   98   95   81   85  127 33.224122 0.000056 FAILURE   6
000001111  297  317  302  321  318  282  291  303 3839.575190 0.000000 FAILURE   7
000010001  104  123  154  170  109  123  132  126 147.102262 0.000000 FAILURE   8
000010011   70   73  108  106  102   79   97  117 23.896939 0.002385 FAILURE   9
000010101   28   30   54   29   31   30   36   50 308.804960 0.000000 FAILURE  10
000010111   71  113   94   79   97   96   85   90 13.817382 0.086651 SUCCESS  11
000011001   90  118  120  109  118  105  103  123 32.067228 0.000091 FAILURE  12
000011011   83   88   93   85   85   72   90   79 12.585045 0.126947 SUCCESS  13
000011101   87  113  117  141  100   97  132  106 50.196230 0.000000 FAILURE  14
000011111  340  326  272  289  295  301  304  280 3755.312043 0.000000 FAILURE  15
000100011  106  107  135  145   96  105  113  106 54.752803 0.000000 FAILURE  16
000100101   29   31   41   40   30   33   31   33 328.586523 0.000000 FAILURE  17
000100111   76   80   86   97  104   91   90  100  8.686970 0.369387 SUCCESS  18
000101001   31   18   26   31   35   26   32   33 379.167623 0.000000 FAILURE  19
000101011   26   31   51   33   35   26   38   40 316.328700 0.000000 FAILURE  20
000101101   21   38   37   40   33   41   30   33 323.608361 0.000000 FAILURE  21
000101111   96  116   89   91  104  101   98   91  7.143306 0.521253 SUCCESS  22
000110011   92  113   99  106  107   97   96  107  8.752854 0.363572 SUCCESS  23
000110101   31   32   31   29   33   24   29   31 366.094615 0.000000 FAILURE  24
000110111   95   95   84   79   92   70  104   86 12.428699 0.133077 SUCCESS  25
000111001   73   71   87   75   75   61   97   74 37.461858 0.000009 FAILURE  26
000111011  101  125  119  125   94   99  123  104 36.924204 0.000012 FAILURE  27
000111101  101  109  106  110  119  101  110  109 18.360300 0.018682 SUCCESS  28
000111111  379  353  312  330  340  367  353  314 5455.035637 0.000000 FAILURE  29
001000011   92  101  121  106  108   93  115  102 16.560952 0.035020 SUCCESS  30
001000101   24   27   43   43   33   30   32   36 330.662037 0.000000 FAILURE  31
001000111   94  108  113  117   85  102  106   88 14.557466 0.068343 SUCCESS  32
001001011   31   32   31   27   35   37   33   36 335.884276 0.000000 FAILURE  33
001001101   22   21   31   30   27   28   24   27 410.120777 0.000000 FAILURE  34
001001111   99   87   84   95  104   96   93  101  3.530614 0.896801 SUCCESS  35
001010011   27   15   20   30   26   25   30   26 427.705640 0.000000 FAILURE  36
001010101    5    9   14   11    8   13    5   14 629.437429 0.000000 FAILURE  37
001010111   38   38   40   28   40   30   43   36 296.486033 0.000000 FAILURE  38
001011011   33   30   34   38   33   41   34   33 317.305011 0.000000 FAILURE  39
001011101   24   29   35   32   35   32   31   30 355.250053 0.000000 FAILURE  40
001011111  128  127   90  102  134  129  115  106 60.059702 0.000000 FAILURE  41
001100101   26   29   41   33   34   30   33   35 337.985393 0.000000 FAILURE  42
001100111  117  119  108  113  109  117  108   93 27.180894 0.000658 FAILURE  43
001101011   30   31   28   33   33   20   33   29 371.196352 0.000000 FAILURE  44
001101101   28   33   36   32   19   29   23   28 384.950388 0.000000 FAILURE  45
001101111  119  102   89   89  108  104  118   95 16.591675 0.034653 SUCCESS  46
001110101   29   34   35   35   25   37   34   30 340.374283 0.000000 FAILURE  47
001110111  128  127  101  140  111  143  141  100 98.613744 0.000000 FAILURE  48
001111011  128  123  114  114  138  117  123  119 70.246449 0.000000 FAILURE  49
001111101  104  110   91   89  113  118  105  104 15.745767 0.046167 SUCCESS  50
001111111  547  445  377  393  438  484  440  401 10689.754565 0.000000 FAILURE  51
010000011   77   85  101   95  101   89   90   96  5.918480 0.656363 SUCCESS  52
010000111  103  109  112   98  105   85  116   95 13.558625 0.094020 SUCCESS  53
010001011   26   29   40   47   31   28   24   33 345.053407 0.000000 FAILURE  54
010001111   91  116   96  124  103  125  120  100 32.654721 0.000071 FAILURE  55
010010011   32   25   28   32   25   22   23   24 408.784324 0.000000 FAILURE  56
010010111   32   23   25   35   43   38   32   35 336.994745 0.000000 FAILURE  57
010011011   21   26   24   25   26   44   25   24 405.535871 0.000000 FAILURE  58
010011111  128   95   91   95  115  108  114  115 27.332803 0.000619 FAILURE  59
010100011   24   28   24   21   30   33   36   31 386.090214 0.000000 FAILURE  60
010100111   26   12   24   27   26   31   29   24 428.229980 0.000000 FAILURE  61
010101011   11   12   17   10    9   14    9    9 606.976815 0.000000 FAILURE  62
