		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 94.671875	M = 48480	N = 8	m = 9	n = 387840
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  318  257  661  457  248  703  589  464 14228.974663 0.000000 FAILURE   0
000000011  269  249  488  336  214  507  419  336 6716.314021 0.000000 FAILURE   1
000000101   74   88  131  112   76  154  146  114 97.969242 0.000000 FAILURE   2
000000111  242  245  365  302  208  405  317  292 3909.409757 0.000000 FAILURE   3
000001001  107   67  120   85   82  141  155  101 83.448494 0.000000 FAILURE   4
000001011   80   74  106   87   77  118  115  102 23.521093 0.002756 FAILURE   5
000001101   87   70  162   77   77  115  100   91 68.604812 0.000000 FAILURE   6
000001111  225  234  301  280  254  313  294  264 2783.066765 0.000000 FAILURE   7
000010001   99  104  164  113   72  161  151  129 158.533976 0.000000 FAILURE   8
000010011   93   68  101   81   80  114  126   95 27.435554 0.000594 FAILURE   9
000010101   31   21   38   35   26   47   37   37 326.561531 0.000000 FAILURE  10
000010111   88   81   88   76   67  100   96  101 15.954342 0.043038 SUCCESS  11
000011001   87   74  107  101   81  127  137  103 41.196418 0.000002 FAILURE  12
000011011   90   80  130   79   81  106  100   98 22.781350 0.003657 FAILURE  13
000011101   97   99  127  106   97  114  100  123 26.298459 0.000934 FAILURE  14
000011111  281  270  270  305  308  275  262  273 3039.675082 0.000000 FAILURE  15
000100011   86  108  117  104   69  138  141  114 64.391655 0.000000 FAILURE  16
000100101   30   28   28   48   25   32   39   29 343.498478 0.000000 FAILURE  17
000100111   86   74   89   90   91   99  110   94  9.002735 0.342065 SUCCESS  18
000101001   23   25   32   26   17   32   15   32 424.613875 0.000000 FAILURE  19
000101011   29   25   37   25   30   43   39   39 332.064033 0.000000 FAILURE  20
000101101   28   24   33   35   24   35   40   41 341.135191 0.000000 FAILURE  21
000101111   91  100   94   94   90  104  104   90  2.845149 0.943696 SUCCESS  22
000110011   97   78   96   96   80  108  132  100 22.957154 0.003420 FAILURE  23
000110101   37   18   40   27   35   27   31   26 367.947899 0.000000 FAILURE  24
000110111  104   93  115   88   94   94  106  106  8.794842 0.359897 SUCCESS  25
000111001   55   78   74   63   66   83   71   77 55.855420 0.000000 FAILURE  26
000111011  109  111  110  109  101  115   99  128 27.253947 0.000639 FAILURE  27
000111101  110  118  113   97   94  103  120  129 32.883096 0.000065 FAILURE  28
000111111  396  371  280  392  406  292  313  345 5856.241752 0.000000 FAILURE  29
001000011   92   92  115   87   84  116  112   95 14.807347 0.063002 SUCCESS  30
001000101   22   29   43   31   20   45   39   50 321.772487 0.000000 FAILURE  31
001000111   78   96  109  102   80  118  123  122 31.105255 0.000135 FAILURE  32
001001011   32   24   26   36   28   41   30   31 356.582752 0.000000 FAILURE  33
001001101   26   21   29   23   20   40   27   25 410.641363 0.000000 FAILURE  34
001001111  103   77   90   92  100   97  100   97  5.224138 0.733373 SUCCESS  35
001010011   21   34   29   32   19   26   13   40 409.100771 0.000000 FAILURE  36
001010101   12    4    8   12   13   11   13    8 625.453671 0.000000 FAILURE  37
001010111   25   40   30   25   35   43   42   40 315.411104 0.000000 FAILURE  38
001011011   32   33   32   34   33   32   40   33 326.223236 0.000000 FAILURE  39
001011101   35   29   39   28   37   37   28   31 333.932337 0.000000 FAILURE  40
001011111  147  133  110  108  127   87  107  115 68.700054 0.000000 FAILURE  41
