		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 94.671875	M = 48480	N = 8	m = 9	n = 387840
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   96   89   95  105  104   88   82   91  4.875261 0.770821 SUCCESS   0
000000011  101   90   90   99   97   99   96  111  4.314394 0.827702 SUCCESS   1
000000101   90   89   99   99   87   86   96   90  2.721232 0.950616 SUCCESS   2
000000111  101   86   85   95   94  107  103   97  4.763975 0.782479 SUCCESS   3
000001001   98   90   80   86   98   88   95  104  5.091346 0.747770 SUCCESS   4
000001011   97   91  115  100   85   89  100  101  7.151499 0.520379 SUCCESS   5
000001101   84   94  101   91   94  102  103  102  3.769572 0.877292 SUCCESS   6
000001111   93   81   76   88   82  105   92   82 11.118531 0.195073 SUCCESS   7
000010001   93   92   87   98  117   73  104   82 14.153629 0.077848 SUCCESS   8
000010011  109   76   82   91  100   83   87  106 11.795462 0.160566 SUCCESS   9
000010101   91   99   80   86   82   87   91   92  6.147196 0.630748 SUCCESS  10
000010111   95   94   93   89   87   86   91  103  2.757417 0.948647 SUCCESS  11
000011001   78   94   94   86   85   88   85   71 12.518820 0.129513 SUCCESS  12
000011011   84   89   98   89   94  102   97   98  2.839687 0.944012 SUCCESS  13
000011101  104  104   88  111   97  108   89   86  8.472250 0.388749 SUCCESS  14
000011111  102   91   92   88   97  116   91   90  6.712159 0.567983 SUCCESS  15
000100011   96   89  103  110  114   83   95   91  9.412376 0.308711 SUCCESS  16
000100101   85  104   76   90   85   87   98   94  7.809997 0.452247 SUCCESS  17
000100111   96   99   90   99  103   89   90   96  2.033718 0.979961 SUCCESS  18
000101001   90   86  103  113  108   90   89   88  8.503656 0.385878 SUCCESS  19
000101011   98  103   97   87   81   75  116   90 13.057498 0.109887 SUCCESS  20
000101101   95   94   95   94   85   81   85  104  5.048334 0.752398 SUCCESS  21
000101111   91   85  103  102   89   92   79   94  5.630707 0.688520 SUCCESS  22
000110011  100   91  102   92   89   91   92   90  1.937111 0.982880 SUCCESS  23
000110101   85  111   92   88  106   96   96  108  7.879295 0.445349 SUCCESS  24
000110111   90  100   94  103   85  105   85  105  5.685326 0.682432 SUCCESS  25
000111001   87   76  100   80  100  106   68   84 17.840056 0.022458 SUCCESS  26
000111011  108  100   82   95   92  104   85   83  7.544413 0.479188 SUCCESS  27
000111101   90   91   99   92   95   82   79  112  8.386567 0.396648 SUCCESS  28
000111111  113   92   85   68  102  107  100   99 15.301989 0.053533 SUCCESS  29
001000011   85   88   87   97   99   94   92   73  7.628390 0.470585 SUCCESS  30
001000101   89   91   84   88   91   96   78   78  8.468153 0.389124 SUCCESS  31
001000111   95   99   98   88   94   89   97   99  1.433253 0.993762 SUCCESS  32
001001011   85   98   97   98   83  109   95  100  5.365123 0.717933 SUCCESS  33
001001101   91   84  107   83  109   88   90  100  7.817166 0.451531 SUCCESS  34
001001111   90   84   93   92  127   83   87  113 18.808174 0.015920 SUCCESS  35
001010011   97   87   94  118  109   81   83   87 13.067397 0.109552 SUCCESS  36
001010101   86   83   85   79   85   96   97   95  7.115997 0.524171 SUCCESS  37
001010111   73  124  101  113   78   90  111  101 25.257971 0.001406 FAILURE  38
001011011   95   87   92  111   88   98   82   97  6.055027 0.641068 SUCCESS  39
001011101  106   93   94   94   94   94   88  115  6.452379 0.596695 SUCCESS  40
001011111  108   96   95  101   95   83   97   91  4.094212 0.848525 SUCCESS  41
001100101   82   95   97   97  100   99   97   78  5.483919 0.704821 SUCCESS  42
001100111   88   87  108  100   95   92   96   77  6.889670 0.548582 SUCCESS  43
001101011   94   96   87   96   96   98  104   92  1.855183 0.985134 SUCCESS  44
